RoundNumber,Cycle_Duration_(ms)
0,4483
1,3156
2,2738
3,2520
4,2685
5,330
6,2620
7,2737
8,2486
9,374
10,2851
11,329
12,379
13,2879
14,518
15,341
16,2404
17,2559
18,650
19,331
20,2441
21,334
22,2672
23,683
24,519
25,2610
26,367
27,365
28,424
29,500
30,452
31,2555
32,2690
33,3204
34,600
35,662
36,468
37,575
38,3250
39,579
40,655
41,769
42,759
43,3178
44,570
45,504
46,583
47,592
48,2966
49,510
50,669
51,544
52,3344
53,505
54,645
55,565
56,823
57,616
58,642
59,678
60,536
61,619
62,714
63,621
64,627
65,608
66,680
67,662
68,581
69,764
70,664
71,870
72,526
73,669
74,774
75,793
76,943
77,790
78,885
79,797
80,937
81,656
82,918
83,731
84,1066
85,878
86,916
87,777
88,1017
89,879
90,936
91,907
92,940
93,737
94,941
95,1045
96,859
97,722
98,855
99,662
100,926
101,950
102,798
103,646
104,795
105,989
106,898
107,964
108,1061
109,1064
110,889
111,1086
112,792
113,958
114,1028
115,916
116,964
117,885
118,1112
119,979
120,1040
121,833
122,1144
123,842
124,930
125,897
126,1143
127,873
128,847
129,902
130,855
131,977
132,1039
133,973
134,870
135,1130
136,862
137,985
138,941
139,944
140,1164
141,1047
142,1072
143,1066
144,1034
145,1062
146,867
147,891
148,1237
149,1408
150,860
151,1075
152,914
153,1064
154,955
155,1040
156,1011
157,953
158,931
159,944
160,1012
161,941
162,1148
163,949
164,1205
165,994
166,1120
167,1106
168,1166
169,1094
170,1057
171,1174
172,1247
173,1030
174,1064
175,1161
176,1056
177,1079
178,1148
179,1158
180,1144
181,1097
182,1243
183,1180
184,1144
185,1132
186,1142
187,1167
188,1191
189,1096
190,1185
191,1232
192,1168
193,1273
194,1121
195,1094
196,1060
197,1239
198,1492
199,1262
200,1645
201,1376
202,1465
203,1415
204,1579
205,1535
206,1532
207,1457
208,1767
209,1680
210,1299
211,1296
212,1147
213,1357
214,1323
215,1429
216,1303
217,1547
218,1547
219,1231
220,1731
221,1600
222,1593
223,1566
224,1544
225,1302
226,1342
227,1412
228,1760
229,1261
230,1456
231,1304
232,1516
233,1347
234,1578
235,1541
236,1429
237,1780
238,1478
239,1321
240,1920
241,1780
242,1952
243,1837
244,1657
245,2157
246,1945
247,2158
248,1786
249,2121
