RoundNumber,Cycle_Duration_(ms)
0,14883
1,15355
2,503
3,580
4,16535
5,486
6,506
7,15699
8,484
9,514
10,15465
11,15478
12,15794
13,15777
14,15704
15,15850
16,15623
17,15908
18,15925
19,17208
20,16367
21,15494
22,15625
23,17967
24,17054
25,16395
26,15530
27,18137
28,16051
29,16526
