RoundNumber,Buffered_Decision_Used
0,False
1,False
2,True
3,True
4,False
5,True
6,True
7,False
8,True
9,True
10,False
11,False
12,False
13,False
14,False
15,False
16,False
17,False
18,False
19,False
20,False
21,False
22,False
23,False
24,False
25,False
26,False
27,False
28,False
29,False
