RoundNumber,PricePerEnergy
0,0
1,40.562794691499995
2,14.666233320000002
3,26.399609636399997
4,64.988139954
5,35.562956506999996
6,13.638096971100003
7,59.923295631
8,34.38004532325
9,14.295197481600002
10,65.89144584
11,41.572797696
12,59.46981223680001
13,37.21993575300001
14,51.02529899085
15,35.63473966125001
16,48.63597260625
17,31.184545385999996
18,44.04949253054999
19,33.22660638375
20,40.7380132203
21,32.31261821775
22,39.8313574638
23,36.37343346000001
24,45.3395129616
25,37.7209615464
26,41.60774880839998
27,36.7470811764
28,41.434933160250004
29,36.80383365
