RoundNumber,PricePerEnergy
0,0
1,40.566955082499994
2,13.949204379300001
3,26.1220405908
4,64.433848086
5,33.480061914000004
6,12.6593431344
7,59.54671413
8,31.8763301565
9,13.029346520399999
10,65.35999836
11,38.721668976000004
12,58.091209344
13,39.76852800375
14,57.0467128176
15,39.44054000999999
16,16.5703361391
17,59.317818112
18,32.506295055
19,44.06471848934999
20,30.207055866150004
21,42.837610577099994
22,29.544469159800002
23,48.206123843549996
24,33.642422385
25,44.6605698084
26,34.796683085549994
27,43.493138724
28,34.66454301975
29,43.545164625
