RoundNumber,Cycle_Duration_(ms)
0,3728
1,3228
2,2994
3,445
4,261
5,2829
6,375
7,393
8,458
9,418
10,4257
11,652
12,1324
13,929
14,542
15,677
16,547
17,669
18,478
19,472
20,547
21,434
22,548
23,384
24,505
25,754
26,634
27,567
28,640
29,484
30,736
31,474
32,474
33,631
34,610
35,747
36,670
37,476
38,666
39,708
40,845
41,676
42,809
43,409
44,531
45,642
46,809
47,475
48,609
49,578
50,712
51,788
52,683
53,778
54,765
55,846
56,608
57,743
58,674
59,1012
60,610
61,950
62,971
63,795
64,1036
65,911
66,801
67,889
68,617
69,1097
70,675
71,737
72,897
73,1039
74,659
75,928
76,1083
77,1136
78,916
79,789
80,888
81,786
82,868
83,822
84,987
85,788
86,787
87,856
88,882
89,817
90,899
91,845
92,784
93,664
94,1014
95,1055
96,825
97,766
98,779
99,854
