RoundNumber,EnergyConsumptionAccumulated
0,0
1,16.019107599999998
2,32.1906766
3,72.4483711
4,113.04772209999999
5,153.66162609999998
6,170.38619649999998
7,186.69351429999998
8,203.00774229999996
9,219.33048429999997
10,235.66092849999995
11,276.0996805
12,317.156659
13,358.261999
14,399.4130275
15,440.5896475
16,481.8022045
17,523.0404025
18,564.309241
19,605.598424
20,646.908001
21,688.2422785
22,729.5974945
23,770.976124
24,812.373316
25,853.790704
26,895.2419995
27,936.7186885
28,978.2209195
29,1019.7553255
30,1061.312353
31,1102.9019515
32,1144.5168445
33,1186.1503
34,1227.812515
35,1269.5045785
36,1311.231391
37,1352.991121
38,1394.773819
39,1436.588197
40,1478.4353935000001
41,1520.3193685
42,1562.2320535000001
43,1604.180626
44,1646.1522160000002
45,1688.1505855000003
46,1730.1777145000003
47,1772.2441960000003
48,1814.3386450000003
49,1856.4605170000002
50,1898.6100595000003
51,1940.7953410000002
52,1983.0169555000002
53,2025.2710420000003
54,2067.5583925
55,2109.880294
56,2152.2420925
57,2194.6319575
58,2237.0551855000003
59,2279.5117765000005
60,2322.0195505000006
61,2364.5567770000007
62,2407.130980000001
63,2449.7482975000007
64,2492.4020470000005
65,2535.0996040000005
66,2577.8342860000002
67,2620.5991630000003
68,2663.4040855000003
69,2706.2410345000003
70,2749.1272855
71,2792.0437810000003
72,2834.995768
73,2877.9915130000004
74,2921.0315605000005
75,2964.1073965000005
76,3007.2240700000007
77,3050.3916790000007
78,3093.604828000001
79,3136.8608440000007
80,3180.1551730000006
81,3223.4942005000007
82,3266.872184500001
83,3310.293629500001
84,3353.7551695000006
85,3397.2631900000006
86,3440.8090780000007
87,3484.3907545000006
88,3528.011288500001
89,3571.6713730000006
90,3615.3722455000006
91,3659.114302000001
92,3702.894869500001
93,3746.7111760000007
94,3790.5604990000006
95,3834.4584805000004
96,3878.4044770000005
97,3922.3840840000007
98,3966.4018555000007
99,4010.4549205000008
