RoundNumber,EnergyConsumptionAccumulated
0,0
1,16.018628
2,32.274901400000005
3,48.64773740000001
4,89.05107740000001
5,106.1913782
6,122.7443942
7,163.3249307
8,184.95038820000002
9,193.8799203
10,234.2838618
11,256.4104013
12,265.5953576
13,306.0963796
14,324.71952519999996
15,341.87153079999996
16,383.0421373
17,402.1537711
18,419.4938173
19,460.8504148
20,480.46980940000003
21,498.03264520000005
22,539.6133757
23,559.8088567
24,577.5871363
25,619.3776673
26,640.1062075
27,662.09603625
28,696.59347785
29,714.61446725
