RoundNumber,Cycle_Duration_(ms)
0,5161
1,5289
2,5963
3,304
4,4426
5,4490
6,362
7,5076
8,4798
9,378
10,5061
11,5021
12,301
13,4845
14,4952
15,348
16,4751
17,4688
18,402
19,5346
20,5786
21,764
22,5421
23,5044
24,520
25,5342
26,4957
27,458
28,5092
29,5646
