RoundNumber,Cycle_Duration_(ms)
0,4955
1,4688
2,4399
3,4303
4,4796
5,4410
6,4290
7,4354
8,4252
9,4331
10,4301
11,4273
12,4479
13,4536
14,4387
15,4350
16,4560
17,4236
18,4298
19,4400
20,4442
21,4566
22,4323
23,4343
24,4608
25,4509
26,4510
27,4571
28,4518
29,4323
