RoundNumber,EnergyConsumptionAccumulated
0,0
1,16.0188238
2,32.245318
3,72.5834695
4,89.54907190000002
5,130.0625869
6,147.4837597
7,188.1645847
8,206.0098543
9,246.8561563
10,265.1236801
11,306.1358881
12,324.8232259
13,366.0038749
14,385.1317933
15,426.4832038
16,446.0413444
17,487.5642184
18,507.5550214
19,549.2426704
20,569.6622514
21,611.5197648999999
22,632.3797272999999
23,669.4292805999999
24,688.4510184999998
25,725.4979284999998
26,744.5223588999999
27,781.5665883999999
28,800.5937259999998
29,837.6352605999998
