RoundNumber,PricePerEnergyAccumulated
0,0
1,32.4541370188
2,59.56860882699999
3,124.7953998025
4,151.9064324377
5,216.1608672277
6,241.9267817989
7,302.0937219739
8,328.4868757123
9,389.1027878803
10,418.6961764363
11,489.5652718603
12,521.8569915787
13,593.0583336997
14,625.0210853461
15,693.4576697236
16,724.6137876994001
17,784.7389092514001
18,813.5856379804001
19,873.7409154874001
20,902.3895876304001
21,961.1156790709001
22,989.7355474837001
23,1048.2367921444002
24,1077.9487467442002
25,1134.9268943242002
26,1163.6728086586002
27,1219.1650644496
28,1247.8009065376
29,1303.3632084376
