RoundNumber,EnergyConsumption
0,0
1,16.019492
2,16.1100504
3,40.177003500000005
4,16.4426526
5,40.264968
6,40.605835500000005
7,16.719490800000003
8,40.3703655
9,17.0116674
10,16.423524
11,40.58350050000001
12,41.423031
13,41.443128
14,17.7190764
15,16.708544999999997
16,16.716920400000003
17,40.797473999999994
18,18.062049
19,16.841145599999997
20,16.862311799999997
21,40.941227999999995
22,42.32808899999999
23,18.459951
24,16.997288399999995
25,17.005644
26,41.0762655
27,42.6788955
28,42.704289
29,42.727356
30,42.750918
31,42.76656
32,18.890272799999998
33,41.237823
34,19.2000786
35,17.291437199999994
36,17.299179000000002
37,17.309375999999997
38,17.316642599999998
39,41.380797
40,43.4500065
41,43.471340999999995
42,43.492675500000004
43,43.511238
44,19.6439958
45,17.4720924
46,17.480388600000005
47,17.4891798
48,17.4964464
49,41.557116
50,43.896496500000005
51,43.9245135
52,43.948421999999994
53,20.0681424
54,17.635561200000005
55,17.642055600000003
56,17.6497776
57,17.662310999999995
58,17.669399400000003
59,17.676962999999997
60,17.6843286
61,17.691238799999997
62,17.6990004
63,17.7075936
64,17.7165432
65,17.723413799999996
66,17.7314328
67,17.743887000000004
68,17.751906
69,17.761014
70,17.768775599999998
71,17.775765
72,17.7830316
73,17.7906546
74,17.8002774
75,17.807583599999997
76,17.814810599999998
77,17.8254036
78,17.834867999999997
79,17.844174000000002
80,17.8535196
81,17.862706799999998
82,17.872884000000003
83,17.879655600000003
84,17.886843
85,17.894862
86,17.903950199999997
87,17.9120286
88,17.9224038
89,17.9307396
90,17.9387784
91,17.946559799999996
92,17.954836200000003
93,17.964023400000002
94,17.9770716
95,17.9875656
96,17.998752600000003
97,16.020000000000003
98,16.02
99,16.02
100,16.02
101,16.02
102,16.02
103,16.02
104,16.02
105,16.02
106,16.02
107,16.02
108,16.020000000000003
109,16.02
110,16.020000000000003
111,16.020000000000003
112,16.02
113,16.020000000000003
114,16.020000000000003
115,16.02
116,16.019999999999996
117,16.02
118,16.019999999999996
119,16.020000000000003
120,16.02
121,16.020000000000003
122,16.020000000000003
123,16.02
124,16.020000000000003
125,16.02
126,16.02
127,16.020000000000003
128,16.020000000000007
129,16.02
130,16.02
131,16.02
132,16.02
133,16.02
134,16.020000000000003
135,16.020000000000003
136,16.020000000000003
137,16.02
138,16.02
139,16.020000000000003
140,16.02
141,16.020000000000003
142,16.02
143,16.02
144,16.02
145,16.02
146,16.020000000000003
147,16.019999999999996
148,16.02
149,16.020000000000003
150,16.020000000000003
151,16.02
152,16.02
153,16.02
154,16.02
155,16.019999999999996
156,16.02
157,16.02
158,16.020000000000003
159,16.02
160,16.02
161,16.02
162,16.02
163,16.02
164,16.02
165,16.02
166,16.02
167,16.020000000000003
168,16.02
169,16.02
170,16.02
171,16.020000000000003
172,16.02
173,16.02
174,16.020000000000003
175,16.02
176,16.02
177,16.02
178,16.020000000000003
179,16.020000000000003
180,16.02
181,16.02
182,16.020000000000003
183,16.020000000000003
184,16.02
185,16.02
186,16.02
187,16.02
188,16.020000000000003
189,16.019999999999996
190,16.02
191,16.02
192,16.020000000000003
193,16.019999999999996
194,16.02
195,16.019999999999996
196,16.02
197,16.02
198,16.02
199,16.02
200,16.020000000000003
201,16.02
202,16.02
203,16.02
204,16.02
205,16.02
206,16.02
207,16.02
208,16.02
209,16.020000000000003
210,16.020000000000003
211,16.020000000000003
212,16.019999999999996
213,16.020000000000003
214,16.02
215,16.02
216,16.019999999999996
217,16.020000000000003
218,16.020000000000003
219,16.020000000000003
220,16.02
221,16.02
222,16.020000000000003
223,16.02
224,16.02
225,16.02
226,16.02
227,16.020000000000007
228,16.02
229,16.02
230,16.02
231,16.019999999999996
232,16.02
233,16.02
234,16.02
235,16.02
236,16.02
237,16.02
238,16.020000000000003
239,16.02
240,16.02
241,16.02
242,16.02
243,16.020000000000003
244,16.02
245,16.019999999999996
246,16.02
247,16.020000000000003
248,16.02
249,16.02
250,16.02
251,16.020000000000003
252,16.02
253,16.02
254,16.02
255,16.02
256,16.02
257,16.019999999999996
258,16.02
259,16.02
260,16.02
261,16.02
262,16.02
263,16.02
264,16.02
265,16.020000000000003
266,16.02
267,16.019999999999996
268,16.020000000000003
269,16.02
270,16.02
271,16.020000000000003
272,16.020000000000003
273,16.02
274,16.020000000000003
275,16.02
276,16.020000000000003
277,16.020000000000003
278,16.02
279,16.02
280,16.02
281,16.02
282,16.02
283,16.02
284,16.02
285,16.02
286,16.02
287,16.020000000000003
288,16.020000000000003
289,16.02
290,16.020000000000003
291,16.02
292,16.02
293,16.02
294,16.02
295,16.019999999999996
296,16.019999999999996
297,16.02
298,16.020000000000003
299,16.02
