RoundNumber,Cycle_Duration_(ms)
0,2811
1,2577
2,2296
3,243
4,2504
5,299
6,3159
7,258
8,285
9,354
10,320
11,295
12,300
13,305
14,323
15,287
16,337
17,314
18,329
19,303
20,350
21,287
22,317
23,264
24,326
25,293
26,287
27,342
28,366
29,323
30,291
31,367
32,274
33,329
34,348
35,328
36,315
37,314
38,399
39,299
40,321
41,328
42,354
43,334
44,372
45,329
46,307
47,373
48,446
49,303
50,296
51,348
52,312
53,295
54,387
55,336
56,395
57,356
58,328
59,319
60,386
61,349
62,340
63,316
64,429
65,401
66,390
67,368
68,336
69,312
70,441
71,287
72,351
73,439
74,432
75,307
76,465
77,353
78,331
79,373
80,400
81,382
82,476
83,329
84,345
85,400
86,459
87,326
88,446
89,402
90,442
91,401
92,360
93,401
94,386
95,354
96,449
97,458
98,449
99,454
