RoundNumber,PricePerEnergyAccumulated
0,0
1,32.45523146399999
2,59.413108180799995
3,85.571563935
4,111.428918589
5,137.167310073
6,161.1757830756
7,185.2737193092
8,209.3773073934
9,233.568610815
10,259.984958079
11,288.17125669020004
12,316.36535618460005
13,344.58344016960007
14,371.8630762914001
15,398.8903219014001
16,424.91292027600014
17,448.5739393704001
18,472.16048461500014
19,495.75328699620013
20,518.6986799592001
21,541.6516566984002
22,564.1039682976002
23,589.9509862572002
24,615.5258818584001
25,640.7156171316001
26,665.4698713920001
27,690.0183580764001
28,714.6893348544
29,739.2859811544
30,763.4307181656001
31,787.4017080780001
32,811.364789694
33,835.3011652716
34,860.1318271164
35,885.29936961
36,910.277903226
37,935.510685744
38,961.7699785188
39,988.056788322
40,1014.3521410332
41,1040.6382480768
42,1067.1632435406
43,1093.4823898326
44,1119.7604001845998
45,1146.0799934435997
46,1173.1829008331997
47,1199.7989632631998
48,1226.1602545679998
49,1252.318296045
50,1278.731398125
51,1303.666536693
52,1327.2553571034
53,1350.2564744538
54,1373.6940048642
55,1396.958691333
56,1420.0159584701998
57,1443.0484960446
58,1466.4363409182
59,1489.8814955598
60,1513.4665522349999
61,1537.1092643267998
62,1561.0750736951998
63,1585.0820871767999
64,1609.0966983143999
65,1633.1373045137998
66,1657.1381866122
67,1681.1981586965999
68,1705.3000162518
69,1729.4595648042
70,1753.6435653252
71,1777.8376489962
72,1802.0561446794
73,1826.2499523797999
74,1851.2526559277999
75,1876.2486693347998
76,1901.2519343729998
77,1926.1661165489998
78,1950.5387483705997
79,1974.3362674157997
80,1997.9754093083998
81,2021.5574453153997
82,2045.1647098073997
83,2068.7827812185997
84,2092.4254004105997
85,2116.7449184675997
86,2142.0443594477997
87,2166.7527683939998
88,2194.0626691236
89,2221.3849136483996
90,2249.1197761907997
91,2275.3753200083997
92,2301.8595694643996
93,2328.6386100413997
94,2355.6128319102
95,2383.0007699837997
96,2410.6334308446
97,2438.615107695
98,2466.9779883222
99,2495.5884738642
