RoundNumber,TemperatureSensor2MeasuredRoomTemperature
0,17.7
1,18.57504462346653
2,19.257702128208635
3,18.759929489784945
4,19.25053200195685
5,19.157904405351463
6,19.273664973590954
7,18.760809100880667
8,18.64005189750235
9,19.06875906542975
10,18.81711635064044
11,19.129462661624316
12,18.961004306127485
13,18.825290205811143
14,18.577849985497096
15,18.917303560864447
16,18.598794003241668
17,18.563887988341506
18,18.60133274099017
19,18.793913945630806
20,18.564504344893063
21,19.04509152159019
22,19.26948050144586
23,18.777661552181737
24,19.19866033508422
25,18.97510777180028
26,19.192305513717223
27,19.48522810475061
28,19.018410447831805
29,18.712240242553364
30,19.31535843831205
31,18.86825712734968
32,19.290041530149665
33,19.29069453884257
34,19.55622198453805
35,19.438550906466784
36,18.835881119662904
37,19.291043732104896
38,19.548758225621576
39,19.073156830905674
40,19.016982914255816
41,18.86994824364139
42,18.990749228208255
43,18.73137763586792
44,19.146129108853856
45,19.022791996310836
46,19.226683242759705
47,18.735309392984014
48,19.26181466339437
49,19.316873759793186
50,18.84654739108248
51,18.803233294822085
52,19.106287876577984
53,18.626969591280613
54,18.821534688054058
55,18.681082820973756
56,18.5734181628118
57,19.124587490692015
58,19.183934427591108
59,18.947841909308913
60,18.856119942319275
61,18.72422295504286
62,19.29299188155442
63,19.225265667918872
64,19.098526274435482
65,18.848004276085458
66,18.88389427515982
67,18.762026650016182
68,19.073573917108618
69,18.60070851965823
70,18.613464576915515
71,18.656740674254284
72,19.152620616948486
73,19.09318980893619
74,18.908731761543482
75,18.987269506151183
76,18.93671741485828
77,19.23293909801252
78,19.432893352851373
79,19.194630917829258
80,19.049434318357694
81,19.074461342455216
82,18.948370335961833
83,19.19044684469004
84,18.948950796022242
85,18.702174150380465
86,18.782866642188058
87,18.613082499158484
88,18.8943095376983
89,18.54265561821974
90,18.748545287906154
91,19.003999725239563
92,18.679466598671162
93,19.038660398246325
94,18.961749566236445
95,19.014021925773854
96,18.931133820670222
97,18.477153420153524
98,18.90700665225836
99,19.078899599874326
