RoundNumber,Heater
0,0
1,0
2,0
3,2
4,0
5,2
6,2
7,0
8,2
9,2
10,0
11,0
12,0
13,2
14,0
15,2
16,0
17,0
18,0
19,2
20,0
21,2
22,0
23,0
24,0
25,2
26,0
27,2
28,0
29,0
