RoundNumber,Cycle_Duration_(ms)
0,55386
1,29285
2,469
3,424
4,31648
5,252180
6,260011
7,39538
8,275205
9,199357
10,45741
11,68655
12,62537
13,168646
14,61133
15,166958
16,148718
17,70005
18,56464
19,152592
20,60534
21,165318
22,146229
23,66527
24,48541
25,152490
26,36876
27,254075
28,145333
29,45682
