RoundNumber,TemperatureSensor1MeasuredRoomTemperature
0,17.7
1,18.445760234750495
2,15.233945590921275
3,12.923126335225362
4,18.412183989307643
5,15.28740320669316
6,15.28740320669316
7,18.902059441739095
8,15.998642201917802
9,16.351987949730056
10,19.424691182163418
11,20.506113963254005
12,20.506113963254005
13,15.39596174158696
14,18.13246517446557
15,15.300251346470027
16,16.693647945126017
17,19.36772252040922
18,19.36772252040922
19,15.353676343536852
20,18.027182987873477
21,15.31525305958063
22,16.757757235870784
23,19.30882097787071
24,19.30882097787071
25,14.730507142427307
26,18.351303926720533
27,16.233565523978754
28,17.077875448000288
29,19.619966846632273
