RoundNumber,EnergyConsumption
0,0
1,16.008845599999997
2,1.6984200000000003
3,0
4,44.0079057
5,5.509434150000001
6,5.509434150000001
7,44.05499999999999
8,11.0548449
9,16.5138787
10,41.0472054
11,20.004914
12,20.004914
13,25.9222167
14,21.02661365
15,23.025332300000002
16,22.028010450000004
17,19.020445900000002
18,19.020445900000002
19,25.7312457
20,21.0254883
21,23.0264884
22,22.026770699999997
23,18.524074749999997
24,18.524074749999997
25,25.4941209
26,21.02508635
27,5.00964925
28,22.00404635
29,37.0332839
