RoundNumber,RoomTemperature
0,17.7
1,20.261629863973532
2,18.85198953607172
3,18.57565415347121
4,20.88489463971038
5,18.735569514719643
6,19.072000910278756
7,20.383076873394263
8,18.23750902754017
9,18.862179383225072
10,20.441947105056972
11,18.73753943782328
12,18.737927753127142
13,20.447677102790664
14,18.194715331562474
15,18.7038878260644
16,20.072959383913624
17,18.294126955189093
18,18.386675239335645
19,20.265070956117523
20,18.295079283682465
21,18.830308373207075
22,20.74352364877817
23,18.513355434509506
24,18.98742467671336
25,20.45165073110757
26,18.927225156867593
27,19.276720458261668
28,20.498273814897143
29,18.44928592173112
