RoundNumber,PricePerEnergy
0,0
1,40.564269112999995
2,13.9282756056
3,64.9665558465
4,34.15552655700001
5,13.788412318199999
6,59.624202637500005
7,33.85100332575
8,13.981583332800001
9,60.257635984000004
10,38.342713634999996
11,17.006360832
12,70.41990355200001
13,42.1836691185
14,17.055358938
15,67.674725815
16,35.883461605499996
17,13.771170695999999
18,52.018100940000004
19,32.50982932275
20,13.346254754549996
21,50.5679855456
22,30.915549371
23,15.024159578099997
24,56.28906548319999
25,34.662010584
26,14.380636522499998
27,53.97347688319999
28,33.9238249875
29,14.279280525
