RoundNumber,PricePerEnergyAccumulated
0,0
1,32.453864319199994
2,59.58511062799999
3,124.83075744050001
4,151.9772829341
5,216.2304187901
6,241.97703596090003
7,302.1304787819
8,328.4838592523
9,389.0801225183
10,418.59751428230004
11,489.4294767143
12,521.6433172007
13,592.8062573672
14,624.6662375006
15,693.0605449031
16,724.1054402561
17,784.1880383921
18,812.9174174549
19,873.0227772629
20,901.5397455869
21,960.2112568199001
22,988.6692618863001
23,1054.9739295998002
24,1084.6849629320002
25,1141.6641168254002
26,1170.4089065225003
27,1225.9022777243003
28,1254.5369120498003
29,1310.1004887998004
