RoundNumber,RoomTemperature
0,17.7
1,18.56758997622813
2,19.254544996974257
3,18.758860477512084
4,19.24978572843834
5,19.15866269883005
6,19.274333227692654
7,18.76265498659836
8,18.63997260507707
9,19.06724713309456
10,18.816878979774835
11,19.128238879838193
12,18.9610313435841
13,18.825055271617337
14,18.576960778160316
15,18.914807796860703
16,18.5971671385454
17,18.560462698990662
18,18.597474929387133
19,18.789480992016003
20,18.561468570000525
21,19.04134814792106
22,19.26814060800957
23,18.779083113722002
24,19.197921749851485
25,18.97629412539711
26,19.192659115192463
27,19.486622319060118
28,19.022107523856025
29,18.713977091885013
30,19.314232051811935
31,18.869910369429327
32,19.28986673094707
33,19.293058130625404
34,19.55927158407578
35,19.443744982798297
36,18.841195587988558
37,19.29187661141154
38,19.55125225636543
39,19.079231337565666
40,19.020147807217533
41,18.87143342263942
42,18.99039810943507
43,18.731139027998108
44,19.144113192319278
45,19.023322037391907
46,19.227083658641313
47,18.737116131195354
48,19.26043171760367
49,19.318953629011762
50,18.850154616014677
51,18.803187564684233
52,19.10452854568152
53,18.627145031419154
54,18.818297064871476
55,18.677761223272125
56,18.569218476948826
57,19.11883811819073
58,19.182624064027248
59,18.949364657970122
60,18.856285875457708
61,18.722950939290236
62,19.289224109742676
63,19.227098653882404
64,19.10199313015114
65,18.850469504541323
66,18.883113615377926
67,18.760512255270775
68,19.070427455394945
69,18.6002816732716
70,18.608220945940296
71,18.650302889644234
72,19.145415436575004
73,19.091789783425686
74,18.9091765331008
75,18.986412732858096
76,18.936178987567622
77,19.231989557493637
78,19.43568130903419
79,19.200945207459288
80,19.05445893337135
81,19.077207581503117
82,18.950599899259494
83,19.190765214248593
84,18.9518521929827
85,18.702764414445294
86,18.77928499483864
87,18.608737525743727
88,18.886623721378445
89,18.537978336090053
90,18.739541830689678
91,18.996736203893565
92,18.676414393160183
93,19.032978413909927
94,18.959920284616686
95,19.01270748741097
96,18.930795494806045
97,18.476031226514756
98,18.89896849988338
99,19.07410326145936
100,19.122086208815443
101,19.21907240581393
102,18.614176699562744
103,19.32511908333342
104,18.660372421826604
105,19.141084690133965
106,18.959235799204325
107,18.765681820992327
108,18.895537919593554
109,19.05236274850669
110,18.993647606551804
111,19.053502342382107
112,19.43039029014392
113,18.95031882224936
114,19.36979551962965
115,19.235637219222163
116,19.233517590223293
117,18.6155172819295
118,19.23501960200399
119,18.840323523845623
120,19.351787399469007
121,18.85293052377738
122,18.62022327611693
123,19.12636910969994
124,18.619718674861133
125,19.016139151165742
126,19.453079907055965
127,18.875532608619874
128,19.41795854515177
129,18.70337850223348
130,18.940257199567565
131,19.128511569493426
132,19.53553086312021
133,19.68248023848539
134,19.68564238203337
135,17.65621089976569
136,17.973602032607197
137,18.64581628167723
138,18.633432631819765
139,18.560402630653442
140,18.558657072984108
141,19.303412781597043
142,18.97740217053353
143,18.555854712751447
144,18.560587398227103
145,19.25202469502067
146,19.25866877482669
147,19.387568450611166
148,19.137162786303843
149,19.465596570323687
150,19.689392404602128
151,18.27833219622046
152,17.14841017110245
153,17.979383506724037
154,18.588187130516786
155,19.140570549762817
156,18.609951142619195
157,19.0706461377099
158,19.470785257272794
159,19.34737377734491
160,19.35817236595804
161,19.36830341884761
162,19.09177975787732
163,18.709092987392477
164,18.851047460753467
165,19.309643950010038
166,19.394545170943687
167,19.642811606708044
168,17.75956725268837
169,18.652073653414877
170,19.322803865456514
171,19.635862195553297
172,18.870625418741085
173,19.027830914313714
174,19.030060649661895
175,18.56007621958931
176,18.875578656327797
177,19.146643465668646
178,18.67089735497746
179,18.618243750372624
180,19.02508040307975
181,18.72927074807077
182,19.347582870695845
183,19.189225581866825
184,18.66730800745504
185,19.05000962860643
186,18.69946179975472
187,19.13107125084586
188,18.989271657940773
189,19.37616080659564
190,19.448207589776363
191,18.97106367139963
192,19.039134390968332
193,19.028368993105843
194,18.620494906272036
195,18.654415744211203
196,18.390892966593324
197,19.0387195871828
198,18.67002138085845
199,18.809790178732175
200,18.513803462780125
201,18.79610442052959
202,18.68131103499821
203,18.790872526214617
204,18.825249565845677
205,18.55002182969662
206,19.072134132443445
207,19.47239189593156
208,18.899771141264317
209,18.830648039122586
210,18.656187931051004
211,18.488642456299228
212,19.280446346522382
213,19.223043814213323
214,18.951683372346434
215,18.66301223281637
216,19.205331146555285
217,19.289396962902504
218,18.700502186776546
219,18.61895392951516
220,19.177808296143624
221,18.748064120751536
222,18.684921433863497
223,19.078889488613164
224,18.55087241993663
225,18.603403081272113
226,19.031210063836934
227,18.64193109833056
228,18.5557431302523
229,18.51974655230429
230,19.096482372103353
231,18.593619603705132
232,18.50445339781272
233,19.247081756199396
234,19.36642730671039
235,18.68753570874066
236,18.823809009164517
237,19.280840411251198
238,19.403043103316907
239,19.04904000516255
240,19.01968703189821
241,18.710517698050595
242,19.347783499362215
243,19.308343571058867
244,19.027137992896364
245,18.749110454330975
246,19.25727191641836
247,18.95326870991278
248,18.531184014022283
249,18.867205227152706
250,18.99317865182325
251,19.31360156307152
252,19.293620016388015
253,19.618580963685968
254,19.662572168946642
255,19.142735320301718
256,19.01581610163279
257,19.063544946141555
258,18.533254897394414
259,18.478232776019833
260,18.381694607406384
261,19.081527039619804
262,18.792825018185983
263,18.670556527710062
264,19.24323127622407
265,18.677826920587638
266,19.18220931857547
267,19.516090960879854
268,18.928784912708416
269,18.474126693882937
270,19.017161473598954
271,18.70540824110227
272,18.57585417711527
273,19.105645487753822
274,19.179415657121048
275,19.202427064410887
276,19.432068271955124
277,19.106093899019932
278,19.17076687315614
279,18.836752032857518
280,19.341658281551954
281,19.236158677454938
282,19.529444482194776
283,18.726547848095567
284,19.16691077759021
285,19.13895192911199
286,18.94208095153212
287,19.1789112395437
288,19.241002747995477
289,19.600778896315553
290,19.75753077701518
291,18.314276051109324
292,17.662790438624928
293,18.835484353139563
294,18.85722782017337
295,18.839457400069897
296,18.848168693834914
297,19.324526318162928
298,19.23550549529672
299,19.063328903490056
300,18.94229079715507
301,18.835712062873043
302,19.429025422892686
303,18.96327033186898
304,18.902920672269374
305,18.48213578101616
306,18.898883969866112
307,19.329265499604094
308,18.7367251608718
309,18.461419872277084
310,18.95670387871184
311,18.660788072757857
312,18.484620647750273
313,19.188068360342772
314,19.067514185756526
315,18.8521620972213
316,19.42891357246559
317,19.108907130010568
318,19.30194859558349
319,18.94657657125555
320,18.6075873069878
321,18.611205694518596
322,18.561052793592555
323,19.286113673568302
324,18.882052452838042
325,19.36830993518437
326,19.10873269446669
327,19.463832554847503
328,18.698895647712124
329,19.345983621787468
330,19.038316170026402
331,19.49815557118581
332,18.891347143302823
333,18.632470716228116
334,19.337861390649042
335,18.6845558853315
336,19.32035731164361
337,19.023833540593145
338,18.533547233579846
339,18.60929654333134
340,18.336471683020495
341,19.209535040261176
342,19.35998879953878
343,19.340320893481426
344,19.122944905774176
345,19.369464431297892
346,19.2106191316145
347,19.49766643959845
348,19.175276784119333
349,19.319647278857794
350,18.688417466388977
351,19.367466491660416
352,18.709940509694206
353,18.74516114077551
354,18.948760403519803
355,18.5674195996404
356,18.836990614623875
357,18.453051113366925
358,18.305620521234417
359,19.162004879191933
360,18.766169587529937
361,19.147772834080953
362,18.79878201170049
363,18.429297911322074
364,19.12268919544427
365,19.331898163232097
366,19.150736978790803
367,19.41242610689296
368,19.59022045187016
369,19.092541169438896
370,19.1712379442231
371,19.061448106427225
372,18.75101384467745
373,18.802613897301143
374,18.686165313696392
375,18.4269869023968
376,18.845103902564905
377,18.578959098194897
378,18.32144044895402
379,19.18006395514117
380,18.912980874948634
381,19.27531462711406
382,19.513003080098734
383,18.95709719127565
384,18.707806961191526
385,18.94022617155999
386,18.72288051886259
387,18.92954833214325
388,19.113335751128464
389,19.0050705481018
390,19.205051626204725
391,18.979677160061087
392,18.71832625378662
