RoundNumber,PricePerEnergyAccumulated
0,0
1,0
2,33.452554422
3,34.716725022
4,105.0887231305
5,108.4122733605
6,173.53823057879998
7,177.20640200879998
8,242.326764318
9,246.543008658
10,246.543008658
11,322.5842341908
12,331.83808891079997
13,407.91595942944997
14,417.11124767995
15,417.11124767995
16,478.4916470509
17,486.51904686209997
18,486.51904686209997
19,534.1962848991
20,549.6674800308
21,549.6674800308
22,594.9522794214
23,621.0202981685001
24,621.0202981685001
25,663.3522310084
26,688.3490191274501
27,688.3490191274501
28,721.5243468129501
29,754.56405323795
