RoundNumber,RoomTemperature
0,17.7
1,14.540444358757222
2,19.206707583839126
3,14.787674411959696
4,19.212333279306492
5,15.199733771628514
6,19.22787439970642
7,14.808168213956096
8,18.592399401754356
9,15.133548508020933
10,13.015694776186082
11,18.300415094204883
12,14.773264825580855
13,18.613967028756583
14,14.97415099201232
15,13.375017798090182
16,17.44485862792508
17,14.55677136583839
18,12.885330086320018
19,17.03274200772093
20,14.827268477688426
21,13.445016538845133
22,17.558043692815307
23,15.653576534840449
24,13.863757883537946
25,16.790369748586375
26,15.866117173281868
27,14.066622257690543
28,16.14653519422841
29,15.744863817552458
