RoundNumber,Cycle_Duration_(ms)
0,21410
1,515
2,9243
3,514
4,6391
5,558
6,6567
7,502
8,6261
9,38108
10,548
11,7159
12,749
13,7251
14,37379
15,538
16,36717
17,46219
18,688
19,22912
20,38061
21,913
22,28389
23,38859
24,852
25,22200
26,41591
27,1014
28,27085
29,27420
