RoundNumber,Heater
0,0
1,2
2,0
3,2
4,0
5,2
6,0
7,2
8,0
9,0
10,2
11,0
12,2
13,0
14,0
15,2
16,0
17,0
18,2
19,0
20,0
21,2
22,0
23,0
24,2
25,0
26,0
27,2
28,0
29,0
