RoundNumber,Buffered_Decision_Used
0,False
1,True
2,False
3,True
4,False
5,True
6,False
7,True
8,False
9,False
10,True
11,False
12,True
13,False
14,False
15,True
16,False
17,False
18,True
19,False
20,False
21,True
22,False
23,False
24,True
25,False
26,False
27,True
28,False
29,False
