RoundNumber,Cycle_Duration_(ms)
0,2451
1,2389
2,2336
3,2034
4,2066
5,270
6,2028
7,1983
8,2216
9,345
10,2660
11,353
12,359
13,2574
14,398
15,376
16,2656
17,2585
18,334
19,383
20,2581
21,417
22,2816
23,396
24,349
25,2615
26,447
27,437
28,416
29,410
30,413
31,2716
32,2653
33,2829
34,435
35,401
36,406
37,442
38,2640
39,483
40,500
41,414
42,472
43,2668
44,468
45,463
46,473
47,456
48,2779
49,399
50,507
51,499
52,2793
53,507
54,573
55,458
56,465
57,454
58,437
59,604
60,483
61,499
62,447
63,542
64,487
65,582
66,537
67,515
68,471
69,560
70,496
71,544
72,502
73,527
74,549
75,601
76,481
77,578
78,515
79,573
80,519
81,555
82,527
83,598
84,557
85,581
86,537
87,638
88,537
89,569
90,570
91,625
92,567
93,536
94,635
95,617
96,546
97,609
98,659
99,588
