RoundNumber,TemperatureSensor1MeasuredRoomTemperature
0,17.7
1,18.575835762544983
2,19.257890350212566
3,18.760111369231648
4,19.250722049831168
5,19.157890474327232
6,19.273595241169232
7,18.760793737656236
8,18.640321346545853
9,19.069799587906974
10,18.817373576773754
11,19.130293234233047
12,18.960838898874922
13,18.825377408195337
14,18.578772863077884
15,18.919828149700574
16,18.600268677673867
17,18.566911610898995
18,18.605590314079834
19,18.798437721697496
20,18.567806923989664
21,19.049889716599374
22,19.271114214148522
23,18.77596587129068
24,19.19991966047861
25,18.97386733489871
26,19.192039723122612
27,19.48321822100569
28,19.01277955713829
29,18.709738191394095
30,19.317182520036873
31,18.865867520694465
32,19.290491007733355
33,19.28740779025069
34,19.55112589672178
35,19.429281631808436
36,18.82642055517794
37,19.289308978002982
38,19.544274874522234
39,19.063669485941517
40,19.01210034375403
41,18.86772530200039
42,18.991670136973458
43,18.73188168268363
44,19.150497271515484
45,19.022285847993757
46,19.22612358978121
47,18.73153265327692
48,19.26444038597255
49,19.313574977268964
50,18.839930533357936
51,18.80313599538791
52,19.10954779395806
53,18.626368886209463
54,18.82801034329192
55,18.68689902710825
56,18.581521354852946
57,19.135588087607886
58,19.18606964546458
59,18.945331220282178
60,18.856075038739075
61,18.72685658753007
62,19.299144246846776
63,19.222280604263897
64,19.093118835328628
65,18.844004234093358
66,18.88514848640573
67,18.764709877276637
68,19.079128319223756
69,18.601528754755588
70,18.6213867377273
71,18.66724877296202
72,19.16336408875521
73,19.094536968915317
74,18.907479222234947
75,18.988526324061112
76,18.93746176020644
77,19.234455185780366
78,19.428992107471664
79,19.18468864975338
80,19.041710080541904
81,19.07043973534323
82,18.94532843840141
83,19.190250168776608
84,18.945148959094663
85,18.701671969889805
86,18.788511849203
87,18.619579920738886
88,18.904492002799063
89,18.548758223587473
90,18.759973283356366
91,19.013483263256102
92,18.6831262216659
93,19.046481281475675
94,18.964058800408434
95,19.015696621242764
96,18.93151065026095
97,18.47868894563034
98,18.91817270710198
99,19.085165583753408
