RoundNumber,Heater
0,2
1,1
2,0
3,2
4,1
5,0
6,2
7,1
8,0
9,2
10,1
11,0
12,2
13,1
14,0
15,2
16,1
17,0
18,2
19,1
20,0
21,2
22,1
23,0
24,2
25,1
26,0
27,2
28,1
29,0
