RoundNumber,EnergyConsumptionAccumulated
0,0
1,16.004872
2,17.526632
3,61.53957845
4,67.04720695
5,94.55772845
6,94.55772845
7,110.57772845
8,112.58239284999999
9,151.12430999999998
10,156.65778354999998
11,178.69786424999998
12,178.69786424999998
13,194.71786425
14,196.72108045
15,235.26696805
16,240.79571215
17,262.8128914
18,262.8128914
19,278.8328914
20,280.849655
21,319.3582669
22,330.37550665
23,346.87784745
24,346.87784745
25,362.89784745
26,364.91292145
27,403.42595975
28,414.43998915000003
29,430.95087255000004
