RoundNumber,PricePerEnergyAccumulated
0,0
1,32.425870671999995
2,34.968731631999994
3,106.13766604165
4,114.93885638465
5,158.57054348365
6,199.25860478215
7,222.95218478215
8,225.91708342975
9,283.11328848035
10,292.07751563134997
11,330.16277508095
12,368.24803453055
13,395.94661453055
14,399.29398880075
15,463.08743277875
16,471.89472213005
17,503.77559768405
18,535.5463873418
19,558.6632473418
20,561.4927666726
21,615.5203491683001
22,630.6360021053001
23,656.6931982285001
24,682.4698545581001
25,707.1086145581002
26,710.1533913721001
27,767.8459227455002
28,784.4220369925001
29,809.1883620925001
