RoundNumber,Buffered_Decision_Used
0,False
1,True
2,True
3,False
4,False
5,False
6,False
7,True
8,True
9,False
10,False
11,False
12,False
13,True
14,True
15,False
16,False
17,False
18,False
19,True
20,True
21,False
22,False
23,False
24,False
25,True
26,True
27,False
28,False
29,False
