RoundNumber,Heater
0,0
1,0
2,2
3,0
4,2
5,0
6,0
7,0
8,2
9,0
10,2
11,0
12,0
13,0
14,2
15,0
16,2
17,0
18,0
19,0
20,2
21,0
22,2
23,0
24,0
25,0
26,2
27,0
28,2
29,0
