state	last_updated_ts
1.259	1774663200.3037236
1.257	1774664100.305703
1.252	1774665000.3028696
1.254	1774665900.3028266
1.258	1774666800.3041291
1.267	1774667700.3037925
1.274	1774668600.3026779
1.282	1774669500.3037796
1.27	1774670400.3043804
1.291	1774671300.301885
1.298	1774672200.3031764
1.315	1774673100.3042862
1.307	1774674000.3026495
1.29	1774674900.3023663
1.281	1774675800.3041825
1.242	1774676700.302566
1.289	1774677600.3037968
1.216	1774678500.304236
1.216	1774679400.3041036
1.037	1774680300.303376
1.328	1774681200.30077
1.319	1774682100.3034763
1.327	1774683000.3037207
1.331	1774683900.3018048
1.269	1774684800.303265
1.261	1774685700.3036351
1.265	1774686600.3044686
1.271	1774687500.3030798
1.221	1774688400.303294
1.24	1774689300.3022103
1.241	1774690200.303522
1.228	1774691100.3041418
1.275	1774692000.3037817
1.257	1774692900.3172762
1.22	1774693800.3039408
1.195	1774694700.301551
1.373	1774695600.3011384
1.372	1774696500.3016796
1.371	1774697400.305128
1.368	1774698300.3017712
1.358	1774699200.303194
1.356	1774700100.305027
1.356	1774700475.2921464
1.355	1774701000.3090017
1.353	1774701900.3069968
1.278	1774702800.3077123
1.267	1774703700.3052611
1.198	1774704600.3086421
1.212	1774705500.3067558
1.152	1774706400.3080041
1.155	1774707300.3075583
1.159	1774708200.3060863
1.257	1774709100.305485
1.195	1774710000.3082013
1.339	1774710900.3093626
1.344	1774711800.3081617
1.349	1774712700.306675
1.426	1774713600.308049
1.47	1774714500.3063285
1.49	1774715400.307545
1.508	1774716300.3081589
1.57	1774717200.308631
1.59	1774718100.3089797
1.593	1774719000.3059916
1.587	1774719900.3072457
1.612	1774720800.3051674
1.609	1774721700.3051422
1.604	1774722600.3079987
1.601	1774723500.3077757
1.613	1774724400.3058379
1.61	1774725300.3056753
1.606	1774726200.3064337
1.604	1774727100.3076916
1.63	1774728000.3079283
1.626	1774728900.305632
1.6	1774729800.3075774
1.585	1774730700.3049767
1.601	1774731600.3048782
1.584	1774732500.3087234
1.575	1774733400.3059382
1.566	1774734300.307828
1.585	1774735200.3055964
1.574	1774736100.3085477
1.57	1774737000.3068814
1.547	1774737900.3079069
1.561	1774738800.178462
1.561	1774738800.302946
1.542	1774739700.302501
1.501	1774740600.3026297
1.483	1774741500.303298
1.487	1774742400.3019204
1.478	1774743300.303369
1.473	1774744200.3030853
1.456	1774745100.320861
1.405	1774746000.304452
1.394	1774746900.3038146
1.397	1774747800.3039255
1.403	1774748700.3017254
1.434	1774749600.302164
1.409	1774750500.3025362
1.416	1774751400.3033314
1.413	1774752300.3021114
1.431	1774753200.3030753
1.44	1774754100.3029115
1.447	1774755000.303717
