RoundNumber,Cycle_Duration_(ms)
0,3178
1,2575
2,2457
3,2388
4,2316
5,2214
6,2351
7,2268
8,2323
9,351
10,2311
11,2288
12,2361
13,398
14,2488
15,2192
16,2204
17,483
18,2276
19,2414
20,2533
21,350
22,2435
23,343
24,2520
25,307
26,2617
27,419
28,2548
29,417
30,2454
31,249
32,2674
33,365
34,2579
35,356
36,2614
37,414
38,2523
39,324
40,2459
41,320
42,2337
43,355
44,2378
45,390
46,2712
47,371
48,2629
49,336
50,2529
51,292
52,2513
53,434
54,2612
55,345
56,2639
57,382
58,2649
59,487
60,2515
61,424
62,2603
63,2745
64,345
65,2577
66,389
67,2551
68,471
69,2667
70,442
71,2645
72,2520
73,438
74,2503
75,2561
76,448
77,2639
78,2668
79,368
80,2710
81,2697
82,556
83,2573
84,2548
85,533
86,2660
87,2646
88,566
89,2701
90,2598
91,462
92,2837
93,2922
94,423
95,2752
96,2872
97,518
98,2690
99,3148
100,451
101,3094
102,3180
103,460
104,2959
105,2880
106,514
107,2715
108,2979
109,531
110,2892
111,2914
112,505
113,2930
114,3053
115,599
116,2759
117,3001
118,579
119,3029
120,3099
121,584
122,2926
123,3080
124,614
125,3639
126,682
127,3136
128,3156
129,3466
130,611
131,3394
132,3337
133,3174
134,637
135,3117
136,3205
137,3110
138,682
139,3091
140,3363
141,3114
142,731
143,3487
144,634
145,3290
146,3425
147,3533
148,690
149,3538
150,631
151,3480
152,3468
153,3466
154,685
155,3568
156,3527
157,790
158,3754
159,3720
160,3703
161,797
162,3719
163,760
164,3607
165,785
166,3634
167,774
168,3616
169,764
170,3722
171,761
172,3872
173,739
174,3712
175,830
176,3797
177,817
178,3745
179,832
180,3679
181,915
182,3766
183,857
184,3507
185,676
186,3571
187,759
188,3635
189,697
190,3680
191,726
192,3928
193,692
194,3669
195,801
196,3865
197,855
198,3741
199,708
200,3798
201,3757
202,3671
203,676
204,3734
205,787
206,3841
207,803
208,3692
209,806
210,3931
211,3783
212,3782
213,778
214,3817
215,873
216,3885
217,925
218,3810
219,882
220,4084
221,854
222,4071
223,830
224,3778
225,827
226,4015
227,833
228,4308
229,863
230,4138
231,874
232,4263
233,1131
234,4229
235,873
236,4248
237,1033
238,4585
239,950
240,4774
241,912
242,4054
243,943
244,4154
245,1091
246,1077
247,4099
248,4002
249,1034
