RoundNumber,EnergyConsumptionAccumulated
0,0
1,16.0190174
2,16.177357399999998
3,60.22593835
4,61.02349335
5,105.06859170000001
6,106.20566170000001
7,150.247256
8,151.754311
9,195.79225165
10,197.66478165
11,241.69903785000002
12,243.93181785000002
13,287.96234175
14,290.59249675
15,334.619015
16,337.644675
17,381.66746425
18,385.07284425
19,429.09144195
20,432.92846195
21,476.94266295
22,481.20681294999997
23,525.21681195
24,529.88873195
25,573.89462465
26,578.9896046499999
27,622.9915632
28,628.49158575
29,667.0443038
