RoundNumber,PricePerEnergy
0,0
1,32.45452925239999
2,0.26458614
3,71.22655539615
4,1.27449289
5,69.85552598310001
6,1.6817265300000002
7,65.1375179697
8,2.2289343450000003
9,65.35230392460001
10,3.0334986
11,76.0911947136
12,3.85824384
13,76.1287758231
14,4.394989004999999
15,72.86388770375001
16,4.81987638
17,63.744998834
18,4.91396334
19,63.5188364811
20,5.38333906
21,61.751924003
22,5.8504138
23,69.491788421
24,7.29753904
25,67.6810629726
26,7.698514779999999
27,65.9149339079
28,8.277533937749999
29,57.829077075
