RoundNumber,TemperatureSensor2MeasuredRoomTemperature
0,17.7
1,18.570786635391404
2,15.266783022084116
3,18.73771222217031
4,15.271170488226574
5,19.131794486180606
6,15.299556876414824
7,18.727998858080074
8,14.674133122955293
9,19.034321711651284
10,14.85745400194807
11,19.087882707793693
12,15.006303130602866
13,18.775362696807733
14,14.63322979253823
15,18.867728249690753
16,14.662938613185801
17,18.509494812360536
18,14.679877488015011
19,18.736194230525278
20,14.648466411557955
21,18.980860877476523
22,15.3555186632225
23,18.68592493209419
24,15.291386392335927
25,18.87718838402153
26,15.287520459693733
27,19.378177412615617
28,15.464341415447835
29,18.415882323155657
