RoundNumber,Case_Hit_Frequency_Over_Total_Cycles_Run
0,0
9,0
19,0
29,0
39,0
49,0
59,0
69,0
79,0
89,0
99,0
109,0
119,0
129,0
139,0
149,0
159,0
169,0
179,0.011
189,0.0316
199,0.055
209,0.067
219,0.073
229,0.078
239,0.092
249,0.1
