RoundNumber,Cycle_Duration_(ms)
0,2903
1,2965
2,2644
3,2421
4,2296
5,2256
6,2274
7,2332
8,2211
9,2160
10,2362
11,2231
12,2271
13,2556
14,2512
15,2209
16,2156
17,2303
18,2223
19,2252
20,2203
21,2683
22,2206
23,2356
24,2697
25,2760
26,2288
27,2257
28,2374
29,2377
30,2319
31,2500
32,2351
33,2397
34,2351
35,2551
36,2701
37,2396
38,2503
39,2970
40,2354
41,2383
42,2440
43,2299
44,2362
45,2556
46,2506
47,2520
48,2403
49,2628
50,2619
51,2382
52,2512
53,2540
54,2555
55,2720
56,2386
57,2514
58,2503
59,2737
60,2833
61,2655
62,2874
63,3081
64,2624
65,2625
66,2776
67,2739
68,2741
69,2595
70,2807
71,2717
72,2901
73,2994
74,2845
75,2882
76,2876
77,3060
78,3268
79,2917
80,3082
81,2903
82,3091
83,3047
84,3230
85,3133
86,3123
87,3318
88,3250
89,3767
90,3650
91,3214
92,3200
93,3274
94,3187
95,3118
96,3039
97,3072
98,3160
99,3143
100,3127
101,3172
102,3328
103,3570
104,3452
105,3390
106,3649
107,3404
108,3018
109,3376
110,3142
111,3237
112,3268
113,3290
114,3255
115,3150
116,3380
117,3383
118,3311
119,3399
120,3215
121,3389
122,3297
123,3379
124,3338
125,3436
126,3313
127,3423
128,3499
129,3440
130,3490
131,3512
132,3483
133,3443
134,3464
135,3512
136,3404
137,3505
138,3477
139,3390
140,3448
141,3496
142,3453
143,3687
144,3577
145,3504
146,3615
147,3846
148,3774
149,4006
150,3568
151,3653
152,3560
153,3930
154,3645
155,3778
156,3655
157,3655
158,3619
159,3648
160,3766
161,3681
162,3824
163,3817
164,3644
165,3859
166,3762
167,3789
168,3824
169,3801
170,4043
171,3825
172,3851
173,3794
174,4041
175,4020
176,3798
177,905
178,3965
179,896
180,3970
181,3900
182,3936
183,994
184,3976
185,1038
186,4091
187,930
188,3943
189,1128
190,4059
191,1082
192,3971
193,1127
194,4174
195,1016
196,4090
197,1041
198,4065
199,1167
200,4073
201,1114
202,4181
203,1028
204,4086
205,1005
206,4305
207,4642
208,4252
209,4162
210,4116
211,4796
212,4302
213,1243
214,4393
215,4260
216,4204
217,1092
218,4481
219,4252
220,4134
221,1100
222,4358
223,4312
224,1153
225,4384
226,4340
227,4418
228,4470
229,4304
230,1134
231,1272
232,4469
233,4355
234,1108
235,4345
236,4381
237,1166
238,4474
239,4427
240,4454
241,4528
242,1285
243,4438
244,4439
245,1203
246,4635
247,4427
248,1203
249,4531
