RoundNumber,Cycle_Duration_(ms)
0,2392
1,2091
2,2089
3,1782
4,1851
5,1866
6,1909
7,1834
8,1827
9,1962
10,1846
11,1986
12,2210
13,2184
14,2170
15,2329
16,2235
17,2236
18,2200
19,2176
20,2317
21,2338
22,2249
23,2300
24,2287
25,2320
26,2350
27,2155
28,2270
29,2297
30,2320
31,2263
32,2228
33,2229
34,2357
35,2243
36,2292
37,2321
38,2307
39,2490
40,2356
41,2290
42,2268
43,2356
44,2332
45,2347
46,2334
47,2367
48,2470
49,2307
50,2322
51,2333
52,2446
53,2337
54,2370
55,2410
56,2450
57,2548
58,2451
59,2546
60,2613
61,2543
62,2566
63,2563
64,2552
65,2648
66,2601
67,2615
68,2667
69,2706
70,2735
71,2757
72,2781
73,2823
74,2866
75,3438
76,3184
77,3154
78,2882
79,2953
80,3071
81,3018
82,3213
83,3036
84,3238
85,3085
86,3209
87,3264
88,3180
89,3603
90,3284
91,3338
92,3273
93,3390
94,3459
95,3423
96,3546
97,3334
98,3481
99,3462
