RoundNumber,EnergyConsumptionAccumulated
0,0
1,16.019463599999998
2,32.1310188
3,72.3387153
4,88.9245927
5,129.2560557
6,146.15328269999998
7,186.60738119999996
8,203.81162519999995
9,244.38672119999995
10,261.9167568
11,302.6295618
12,320.501574
13,361.340739
14,379.53435959999996
15,420.5034141
16,439.04309489999997
17,480.14295539999995
18,499.05339719999995
19,540.3023156999999
20,559.5414872999999
21,600.9168047999999
22,620.4751944
23,661.9726598999999
24,681.8534546999999
25,723.4767146999999
26,743.7102926999999
27,785.4753761999998
28,806.0454029999999
29,847.9405904999999
30,868.8449744999999
31,905.8945226999999
32,924.9160539
33,961.9635143999999
34,980.9870363999999
35,1018.0324484999999
36,1037.0580410999999
37,1074.1014117
38,1093.1291022
39,1130.1703695
40,1149.2001549000001
41,1186.2393078000002
42,1205.2712535000003
43,1242.3082881000003
44,1261.3425579000002
45,1298.3772423000003
46,1317.4136265000002
47,1354.4461695000002
48,1373.4846843000003
49,1410.5147979000003
50,1429.5560187000003
51,1466.5836129000004
52,1485.6270468000005
53,1522.6525281000004
54,1541.6981922000004
55,1578.7214232000003
56,1597.7694702000003
57,1634.7903480000004
58,1656.8106060000005
59,1690.8592152000006
60,1712.8818096000005
61,1746.9280341000003
62,1768.9529055000003
63,1802.9968224000004
64,1825.0242075000003
65,1859.0656680000004
66,1881.0953652000005
67,1915.1343408000005
68,1937.1665547000005
69,1971.2032362000004
70,1993.2376947000005
71,2027.2721082000005
72,2049.3088407000005
73,2083.3409805000006
74,2105.3800563000004
75,2139.4097094000003
76,2161.4514114000003
77,2195.4783648000002
78,2217.5227170000003
79,2251.5470916000004
80,2273.5939125000004
81,2307.6157932000006
82,2329.6653366000005
83,2360.7139908000004
84,2385.7369821
85,2416.7823261000003
86,2441.8084332000003
87,2472.8508528
88,2497.8797115
89,2528.9194767000004
90,2553.9509508000006
91,2584.9881876000004
92,2610.0223803000003
93,2641.0568562000003
94,2666.0937957
95,2697.1256052
96,2722.1650406999997
97,2753.1943625999997
98,2778.2362254
99,2809.2630663
