RoundNumber,PricePerEnergy
0,0
1,35.478160218999996
2,18.41794372125
3,56.62498443525
4,41.569355991600005
5,12.70386
6,11.84679
7,34.068688535700005
8,16.29926337195
9,51.974809223399994
10,42.138331596
11,21.634260969599996
12,21.634260969599996
13,19.0515340743
14,28.434169875149998
15,48.04663393124999
16,39.089270401200004
17,28.996199999999998
18,28.896075
19,15.9048113679
20,23.8702441092
21,40.72721818754999
22,35.7079130604
23,31.619474999999998
24,31.279049999999998
25,16.9524492006
26,25.708305024450002
27,43.485509709599995
28,39.16914836099999
29,23.27366205
