RoundNumber,Buffered_Decision_Used
0,False
1,False
2,True
3,False
4,False
5,True
6,False
7,False
8,True
9,False
10,False
11,True
12,False
13,False
14,True
15,False
16,False
17,True
18,False
19,False
20,True
21,False
22,False
23,True
24,False
25,False
26,True
27,False
28,False
29,True
