RoundNumber,Cycle_Duration_(ms)
0,153795
1,126479
2,378
3,126486
4,129732
5,376
6,132275
7,136704
8,428
9,132869
10,131651
11,436
12,127616
13,128945
14,449
15,129018
16,132721
17,373
18,139371
19,135136
20,381
21,132365
22,137507
23,357
24,140504
25,131394
26,369
27,133836
28,131851
29,480
