RoundNumber,PricePerEnergyAccumulated
0,0
1,32.454214006799994
2,59.5365264174
3,85.7586311724
4,111.8208574164
5,137.7059313792
6,162.0054014772
7,186.3199529382
8,210.6495857622
9,235.07762962619998
10,261.7599831582
11,290.2385411742
12,318.7373883294
13,347.2759386606
14,374.8802457378
15,402.2392447038
16,428.60933468220003
17,452.60212764540006
18,476.52867255000007
19,500.4736174362001
20,523.7713643088001
21,547.0848065424001
22,569.9011915128001
23,596.1760913136001
24,622.1840660976001
25,647.8078089756001
26,672.9974569794001
27,697.9915615134001
28,723.1215620874001
29,748.1833400874001
30,772.7960097066001
31,797.2419073116001
32,821.6868563796002
33,846.1153804404001
34,871.4696509092001
35,897.1759181388002
36,922.6994602188001
37,948.4928416218002
38,975.3484989126001
39,1002.2406212082001
40,1029.1526769558002
41,1056.0674331480002
42,1083.2438135856003
43,1110.2221876116002
44,1137.1721469006002
45,1164.1737648810001
46,1191.989771409
47,1219.3217390334
48,1246.4085130698
49,1273.2979353618
50,1300.4689497618
51,1326.1267528878002
52,1350.4121414166002
53,1374.1054407894003
54,1398.2591159346002
55,1422.2418856770003
56,1446.0229390818004
57,1469.7866307810004
58,1493.9352930702005
59,1518.1538989134006
60,1542.5267576718006
61,1566.9652605726005
62,1591.7499394518006
63,1616.5900860870006
64,1641.4535704278005
65,1666.3559441646005
66,1691.2271166906005
67,1716.1700009898004
68,1741.1672227620004
69,1766.2362797208004
70,1791.3426579948004
71,1816.4700092208004
72,1841.6350408944004
73,1866.7888532580005
74,1892.7958630980004
75,1918.8074615106004
76,1944.8485419648005
77,1970.8114283688005
78,1996.2244079868005
79,2021.0499141438006
80,2045.7314428962006
81,2070.3613724202005
82,2095.0293948258004
83,2119.7187231006005
84,2144.4473932806004
85,2169.9033111516005
86,2196.3930195486005
87,2222.2726454802005
88,2250.8885649810004
89,2279.5281057234006
90,2308.6173752274008
91,2336.1637807380007
92,2363.9677770180006
93,2392.0870567260004
94,2420.4322082604003
95,2449.2248185260005
96,2478.2941144416004
97,2507.7415597500003
98,2537.6111221692004
99,2567.7559504992005
