RoundNumber,TemperatureSensor1MeasuredRoomTemperature
0,17.7
1,18.568875038281416
2,19.255754355517915
3,18.75888195991978
4,19.250749976370756
5,19.157498395327544
6,19.272825724506664
7,18.759593656557232
8,18.640326772564798
9,19.070109786938517
10,18.81744126934915
11,19.13026450039257
12,18.960849865447607
13,18.825380875373313
14,18.578618189117755
15,18.919445749198477
16,18.600078670936654
17,18.566402705151393
18,18.60459424940927
19,18.797369089953303
20,18.5670600458612
21,19.048564718179236
22,19.270671131264564
23,18.776586759827723
24,19.199538850973475
25,18.974267471561348
26,19.19211022108528
27,19.48391624222108
28,19.01468159916046
29,18.710569052974765
30,19.316632910859934
31,18.866580316308042
32,19.290281970618683
33,19.28868783303832
34,19.55322554445139
35,19.433103179913758
36,18.830245747630947
37,19.290004845626424
38,19.545990927013825
39,19.067542637368426
40,19.014060322411762
41,18.868599973943784
42,18.991325454367576
43,18.73169685283493
44,19.148695282130145
45,19.022503770357325
46,19.226352155294457
47,18.73301006124672
48,19.263457550514136
49,19.314947328209882
50,18.842528999870346
51,18.803169522284005
52,19.108327126114617
53,18.626665342168195
54,18.825464425382528
55,18.68464603148476
56,18.578434003552566
57,19.13145263090053
58,19.18528503371976
59,18.946229198717553
60,18.856085395005483
61,18.725935606333955
62,19.29704794313378
63,19.223283057600156
64,19.09488079236753
65,18.845266983670747
66,18.884755369158206
67,18.763897372520848
68,19.07749010866859
69,18.60129924337294
70,18.619150622793263
71,18.664368999375792
72,19.160496373052787
73,19.094191045702857
74,18.907793332663385
75,18.988221485944738
76,18.937289024878286
77,19.23412380252153
78,19.42980037045409
79,19.186680235770012
80,19.04317266177029
81,19.07116959408169
82,18.945853374628328
83,19.19028442946096
84,18.9457396389156
85,18.701753427034518
86,18.787742599805195
87,18.61872810843108
88,18.903218591682485
89,18.54803017393755
90,18.758729814674304
91,19.012496893507695
92,18.682760333593343
93,19.045755115571648
94,18.963845558888583
95,19.0155588424379
96,18.931477022490547
97,18.478593169204228
98,18.917620960046413
99,19.084882614106196
