RoundNumber,RoomTemperature
0,17.7
1,18.574661336865944
2,19.257558875956292
3,18.760074652997723
4,19.250608840169434
5,19.158159386645675
6,20.98353873163255
7,21.21226624582976
8,18.557497646529693
9,17.882547643950772
10,17.162564831418468
11,17.275948401797102
12,17.02323276865129
13,16.85166271248359
14,16.588922766008654
15,16.921713990946255
16,16.600604974476298
17,16.564354086119028
18,16.6011853946649
19,16.79352502014471
20,16.564168776206625
21,17.044575110945562
22,17.269301928708426
23,16.777833025624403
24,17.198526888960927
25,16.97524418314271
26,17.19233839880664
27,17.48543939784917
28,17.019015435907285
29,16.712516218458106
30,17.315155289782517
31,16.868527278220707
32,17.29000177628782
33,17.291012370828007
34,17.556697122408874
35,17.43942109782373
36,16.836788648415116
37,17.291224601624318
38,17.549191453913064
39,17.074037801530565
40,17.017449853387202
41,16.870167103864286
42,16.99067065937209
43,16.731332108230948
44,17.1457416258853
45,17.022830261013084
46,17.226731335256023
47,16.73565425572547
48,17.26157268226056
49,17.317163601803895
50,16.847143288961156
51,16.80325236269377
52,17.105998125399005
53,16.627008178204463
54,16.82098400685419
55,16.680571887689897
56,16.572700746386154
57,17.123601844838156
58,17.183720690336845
59,16.94805132292998
60,16.856123535695414
61,16.72398943098571
62,17.292438309141907
63,17.22551833791096
64,17.099006600908847
65,16.848372571852412
66,16.88378468608707
67,16.761777488248065
68,17.073047083065315
69,16.60061933953774
70,16.612722885896265
71,16.65573474739307
72,17.151578336275822
73,17.093033256593873
74,16.908839694153986
75,16.987141178114044
76,16.936639799672136
77,17.23278601259457
78,17.433278090979233
79,17.195619496113274
80,17.050218275865397
81,17.074884118952877
82,16.948692365998376
83,17.190477802595396
84,16.949346252401835
85,16.70223595414504
86,16.782279337293865
87,16.612389408067887
88,16.893239738280652
89,16.541993534529276
90,16.747336684855238
91,17.00297466312417
92,16.67904834444666
93,17.037823680718837
94,16.961482440929952
95,17.01383005174565
96,16.931083313057623
97,16.476986262247618
98,16.9058169683189
99,17.078207129831934
