RoundNumber,EnergyConsumptionMeterMeasuredEnergyConsumption
0,0
1,16.0193328
2,16.135038
3,16.1399088
4,16.183963799999997
5,16.1872506
6,20.233836500000002
7,20.290914
8,8.329616399999999
9,8.1384624
10,8.139987
11,8.1420561
12,8.143966800000001
13,8.146154699999999
14,8.1477486
15,8.1496494
16,8.1512433
17,8.1527679
18,8.1543618
19,8.1558765
20,8.1579951
21,8.159984999999999
22,8.161638299999998
23,8.1633015
24,8.1650439
25,8.1665487
26,8.1681426
27,8.1698949
28,8.1716373
29,8.173548
30,8.1754983
31,8.177379299999998
32,8.1793692
33,8.181814500000002
34,8.183943
35,8.1859725
36,8.188002000000001
37,8.190486900000002
38,8.1929421
39,8.1953379
40,8.1973377
41,8.1999018
42,8.201921400000002
43,8.2038816
44,8.2057527
45,8.2082574
46,8.210376
47,8.212088699999999
48,8.2142073
49,8.216969399999998
50,8.2193355
51,8.221563
52,8.2242162
53,8.2268001
54,8.2289682
55,8.2310967
56,8.233551899999998
57,8.2359081
58,8.238561299999999
59,8.240848200000002
60,8.2436796
61,8.2460952
62,8.248540499999999
63,8.251243199999998
64,8.2537182
65,8.256232800000001
66,8.258688000000001
67,8.261588699999999
68,8.2640043
69,8.2664001
70,8.269657200000001
71,8.2723104
72,8.2747359
73,8.2771515
74,8.2798839
75,8.282279699999998
76,8.285150699999999
77,8.2881999
78,8.290605600000003
79,8.2938627
80,8.2969614
81,8.299812600000001
82,8.302267800000001
83,8.304950700000001
84,8.307603899999998
85,8.310267
86,8.3128509
87,8.3164149
88,8.320097700000002
89,8.323196399999999
90,8.3266515
91,8.3294136
92,8.332690499999998
93,8.336125799999998
94,8.3389077
95,8.341818300000002
96,8.345431800000002
97,8.348540400000001
98,8.3515401
99,8.355351599999999
