RoundNumber,PricePerEnergyAccumulated
0,0
1,32.45535423959999
2,59.38715934599999
3,124.360468593
4,150.63829444019999
5,214.4735755992
6,239.05373120459998
7,298.69257298409997
8,323.5921668549
9,383.56189348289996
10,411.17984950289997
11,481.15195740689995
12,510.97081788689997
13,581.1258668964
14,610.3183645608
15,677.6074033832999
16,705.7747108640999
17,764.7748537040999
18,790.6158356552999
19,849.5354390732998
20,874.9578916712999
21,932.3631147317999
22,957.5270742966
23,1022.2717105370999
24,1051.2672521186998
25,1114.4626724186999
26,1142.8579374447
27,1204.5517784157
28,1233.1989161307001
29,1295.1195033807
