RoundNumber,Cycle_Duration_(ms)
0,2271
1,2252
2,2099
3,1892
4,2025
5,2306
6,2200
7,2382
8,2246
9,201
10,2273
11,2237
12,2340
13,224
14,2282
15,2331
16,2350
17,218
18,2294
19,2266
20,2295
21,255
22,2261
23,233
24,2399
25,282
26,2708
27,297
28,2759
29,249
30,2358
31,268
32,2433
33,277
34,2448
35,310
36,2470
37,287
38,2420
39,306
40,2402
41,256
42,2547
43,346
44,2806
45,261
46,2461
47,263
48,2467
49,307
50,2414
51,272
52,2477
53,252
54,2506
55,339
56,2486
57,305
58,2656
59,283
60,2531
61,327
62,2449
63,284
64,2575
65,386
66,2521
67,312
68,2567
69,315
70,2730
71,343
72,2599
73,2697
74,397
75,2614
76,2615
77,345
78,2664
79,2638
80,402
81,2732
82,2762
83,361
84,2770
85,2798
86,383
87,2716
88,2735
89,418
90,2773
91,2699
92,507
93,2811
94,2868
95,494
96,2829
97,3136
98,446
99,2989
