RoundNumber,EnergyConsumptionAccumulated
0,0
1,16.019467
2,32.135794000000004
3,72.32079250000001
4,88.7765425
5,129.03511450000002
6,145.69892890000003
7,186.04261840000004
8,202.92849100000004
9,243.35987200000005
10,284.38670500000006
11,301.49802220000004
12,342.01805020000006
13,359.3523220000001
14,375.89813080000005
15,416.50881430000004
16,434.07356050000004
17,474.77283250000005
18,516.480637
19,534.2808376
20,575.0706871
21,593.0910535
22,609.9103993
23,650.7902413
24,692.9577523
25,711.2238817
26,728.1412177
27,769.1258722
28,811.5602872
29,830.1125175999999
30,847.1433867999999
31,888.2331267999999
32,930.9327627999999
33,949.7364333999999
34,966.8674707999999
35,1008.0576357999998
36,1051.0138302999999
37,1070.0764110999999
38,1087.3100521
39,1128.6011686
40,1171.8142186
41,1191.1330204
42,1208.4689284
43,1249.8627514000002
44,1293.3375079000002
45,1312.9385263000001
46,1330.3865221
47,1371.8892916
48,1415.6376841
49,1435.4983098999999
50,1453.0501765
51,1494.6542095
52,1538.662477
53,1558.7849014
54,1576.440124
55,1618.1483845
56,1662.423457
57,1682.8149508000001
58,1700.57842
59,1742.3958805
60,1786.9442425
61,1807.6119271
62,1825.4850487
63,1867.4063662
64,1912.2193057000002
65,1933.1558107
66,1951.1364265
67,1988.185984
68,2028.235984
69,2047.2572541999998
70,2063.2772542
71,2100.3251077
72,2140.3751077
73,2159.3981083000003
74,2196.4443199
75,2236.4943199000004
76,2255.5189738000004
77,2292.5635552000003
78,2332.6135552000005
79,2351.6398351000007
80,2388.6827686000006
81,2428.732768600001
82,2447.760731200001
83,2484.801962800001
84,2524.8519628000013
85,2543.8816360000014
86,2580.9211519000014
87,2620.9711519000016
88,2640.0025306000016
89,2677.0403524000017
90,2717.090352400002
91,2736.1234378000017
92,2773.1595676000015
93,2813.2095676000017
94,2832.2443921000017
95,2869.278730600002
96,2909.328730600002
97,2928.365353900002
98,2965.397809900002
99,3005.447809900002
