RoundNumber,PricePerEnergy
0,0
1,32.45544014199999
2,26.930382417000004
3,64.9791425745
4,26.296288500000003
5,63.850095192000005
6,24.6457814976
7,59.6683167705
8,24.9742055754
9,60.000169404000005
10,66.46346946
11,29.568356121599997
12,70.018608384
13,29.9709559422
14,27.6480465048
15,67.21068119249999
16,27.9806406966
17,58.932545856
18,60.1843618935
19,25.685689465800007
20,57.2281588485
21,25.2825740592
22,23.0761424376
23,64.54927051800001
24,65.865652182
25,28.0933070172
26,25.562094695999996
27,61.395012441
28,63.863794575
29,27.828345600000006
30,25.069439462399995
31,60.032110140000015
32,62.341468559999996
33,27.415751734799993
34,25.902128548800007
35,63.10333278
36,65.29341563999999
37,29.261061528
38,27.522124677000004
39,65.98320416699998
40,69.05445390000001
41,30.8521264746
42,27.928147788
43,66.147329154
44,69.34223661749999
45,31.3028263848
46,28.684505095199995
47,66.98546997300001
48,69.909931215
49,31.479091893
50,28.082986559999995
51,62.82208983
52,62.84380598999999
53,28.010414764799993
54,25.035105646799995
55,58.6835225235
56,61.719451064999994
57,28.384959369599997
58,25.0997819796
59,59.213524068
60,63.436867488000004
61,29.492785924200003
62,25.844533833599996
63,60.70206774
64,64.889136396
65,30.336995745000003
66,25.9999704468
67,53.68480881750001
68,58.11255
69,27.6569268708
70,23.3091
71,53.904626842499994
72,58.3128
73,27.6594428724
74,55.6434098232
75,60.115050000000004
76,28.5560055039
77,55.381649193
78,58.55309999999999
79,27.1505014173
80,52.48983676950001
81,56.59065000000001
82,26.905539116399996
83,52.3763014824
84,56.67075
85,27.688174506000003
86,56.0407875567
87,59.15385
88,31.0592100384
89,60.44572517759999
90,66.3228
91,29.824844821799996
92,58.517085084
93,63.95985
94,30.607997796
95,60.44004043199999
96,65.92230000000002
97,31.715014417800003
98,62.510785728
99,68.16509999999998
