RoundNumber,EnergyConsumptionAccumulated
0,0
1,17.51410375
2,28.536744849999998
3,42.560489499999996
4,62.585489499999994
5,85.62265269999999
6,85.62265269999999
7,93.6326527
8,133.15417135
9,154.68136090000002
10,167.2054069
11,187.23040690000002
12,187.23040690000002
13,198.25424590000003
14,213.77730820000002
15,241.31528725
16,267.35184835
17,287.37684835
18,287.37684835
19,295.38684835
20,334.9242232
21,351.96704439999996
22,365.98970139999994
23,386.0147013999999
24,386.0147013999999
25,397.0359009999999
26,414.0503843499999
27,443.0798063499999
28,467.6197428999999
29,483.1343456499999
