RoundNumber,TemperatureSensor1MeasuredRoomTemperature
0,27.7
1,18.887974483995446
2,15.398435678902908
3,19.949142609924866
4,22.613412442531995
5,16.61660064104287
6,21.026910501491088
7,22.369398018302526
8,16.202884700743464
9,20.862386453197068
10,22.443423980864264
11,16.700774912685905
12,20.758831197001395
13,22.453941919080712
14,16.150619437551857
15,20.711943813925185
16,22.22669920189134
17,16.135637788338194
18,20.39422106250641
19,22.420409088781838
20,16.13694380024773
21,20.837074664369126
22,22.89848566334242
23,16.353846968100747
24,20.992009035656746
25,22.606269172940955
26,16.768367080703925
27,21.279394317205355
28,22.652115004720237
29,16.289975022661444
