RoundNumber,Cycle_Duration_(ms)
0,1089
1,708
2,830
3,682
4,674
5,739
6,668
7,687
8,559
9,566
10,537
11,668
12,522
13,669
14,564
15,606
16,548
17,611
18,503
19,514
20,570
21,564
22,579
23,513
24,582
25,495
26,645
27,578
28,577
29,557
