RoundNumber,PricePerEnergy
0,0
1,48.68361727859999
2,40.27849952219999
3,39.011630427
4,76.98254290560001
5,38.5358599002
6,35.7646137615
7,71.3274167898
8,36.0897495786
9,35.957628226800004
10,78.201598068
11,42.313232563199996
12,41.94442051199999
13,83.53457783580001
14,41.068119209399995
15,40.245062652
16,77.036352156
17,35.713578717599994
18,35.152203808799996
19,69.8400279954
20,34.713671099399996
21,34.2304118181
22,66.4566882168
23,39.201919371299994
24,38.1724170102
25,74.5597659732
26,37.6298658813
27,36.6723962892
28,73.02409295999999
29,37.492486199999995
