RoundNumber,RoomHumidity
0,10.2
1,44.443133781991236
2,58.81542075157315
3,36.59523507809952
4,27.050695977687816
5,51.81804476329303
6,33.39092960196743
7,26.2163070403296
8,51.267310081588676
9,33.013097753574044
10,25.711479604693846
11,50.526721204820745
12,33.347327438609696
13,25.34617180012995
14,51.21102508270775
15,33.93942606389987
16,26.097112498573317
17,51.36531926641115
18,34.00051034361686
19,25.528819725194975
20,50.45329326101448
21,33.25441706733834
22,26.009411972733705
23,50.846719118457365
24,33.27328723053064
25,25.36117139165394
26,50.60511107722786
27,32.972065965807914
28,25.541094829455098
29,50.62883233487782
