RoundNumber,EnergyConsumption
0,0
1,16.0186086
2,16.2383544
3,16.253937
4,16.3459476
5,16.360540200000003
6,20.460981250000003
7,20.5848945
8,8.685537
9,8.284804200000002
10,8.2900512
11,8.2953081
12,8.302069799999998
13,8.3079702
14,8.3119302
15,8.3162169
16,8.3216223
17,8.3275425
18,8.333898299999998
19,8.3404026
20,8.345788199999998
21,8.3520846
22,8.3580642
23,8.3649051
24,8.3721519
25,8.3777652
26,8.3828835
27,8.3900511
28,8.3948922
29,8.401445999999998
30,8.4065346
31,8.4131181
32,8.4183255
33,8.426007899999998
34,8.43174
35,8.4384027
36,8.4442833
37,8.4523122
38,8.4578661
39,8.464459499999998
40,8.4705777
41,8.4745278
42,8.480745
43,8.4873879
44,8.4954762
45,8.5024458
46,8.508385800000001
47,8.515296000000001
48,8.522631899999999
49,8.5318389
50,8.537551200000001
51,8.5436595
52,8.5484709
53,8.5560444
54,8.562073499999999
55,8.569241100000001
56,8.575389000000001
57,8.584002
58,8.592763499999998
59,8.599743
60,8.6070591
61,8.615186999999999
62,8.6228001
63,8.632017
64,8.63964
65,8.647758000000001
66,8.653707899999999
67,8.6601429
68,8.6671125
69,8.673616800000001
70,8.6813586
71,8.688565800000001
72,8.6957433
73,8.7025644
74,8.7080985
75,8.7136128
76,8.7211863
77,8.7278886
78,8.7329079
79,8.7409764
80,8.7496092
81,8.757855899999997
82,8.7646671
83,8.7709833
84,8.7798438
85,8.7868827
86,8.7964659
87,8.8028514
88,8.8095438
89,8.817216300000002
90,8.8258095
91,8.832719700000002
92,8.8395309
93,8.8456788
94,8.8534107
95,8.860360499999999
96,8.867191500000002
97,8.8733691
98,8.880833699999998
99,8.8875756
