RoundNumber,Cycle_Duration_(ms)
0,6314
1,4154
2,787
3,4613
4,801
5,4874
6,481
7,4550
8,650
9,519
10,539
11,682
12,581
13,450
14,510
15,587
16,691
17,623
18,621
19,543
20,668
21,641
22,687
23,828
24,637
25,487
26,786
27,514
28,635
29,457
30,646
31,528
32,851
33,594
34,658
35,659
36,805
37,583
38,693
39,658
40,485
41,653
42,791
43,774
44,771
45,703
46,852
47,810
48,923
49,483
50,710
51,607
52,779
53,594
54,810
55,670
56,871
57,913
58,696
59,814
60,779
61,844
62,884
63,795
64,899
65,583
66,625
67,810
68,697
69,829
70,755
71,711
72,688
73,644
74,583
75,765
76,678
77,487
78,837
79,864
80,878
81,729
82,656
83,901
84,696
85,988
86,621
87,726
88,765
89,882
90,685
91,652
92,711
93,829
94,686
95,743
96,692
97,761
98,673
99,771
