RoundNumber,EnergyConsumptionAccumulated
0,0
1,16.0186086
2,32.256963
3,48.5109
4,64.8568476
5,81.2173878
6,101.67836905
7,122.26326355
8,130.94880055000002
9,139.23360475
10,147.52365595
11,155.81896405
12,164.12103385
13,172.42900405
14,180.74093425
15,189.05715115
16,197.37877345
17,205.70631595
18,214.04021425
19,222.38061685
20,230.72640504999998
21,239.07848965
22,247.43655385
23,255.80145894999998
24,264.17361085
25,272.55137605
26,280.93425955
27,289.32431065
28,297.71920285
29,306.12064885
30,314.52718345
31,322.94030155
32,331.35862705
33,339.78463495
34,348.21637495
35,356.65477764999997
36,365.09906094999997
37,373.55137314999996
38,382.00923924999995
39,390.4736987499999
40,398.9442764499999
41,407.4188042499999
42,415.8995492499999
43,424.3869371499999
44,432.88241334999987
45,441.38485914999984
46,449.8932449499998
47,458.4085409499998
48,466.9311728499998
49,475.46301174999985
50,484.00056294999985
51,492.54422244999984
52,501.0926933499998
53,509.64873774999984
54,518.2108112499999
55,526.7800523499999
56,535.3554413499999
57,543.9394433499999
58,552.53220685
59,561.13194985
60,569.73900895
61,578.35419595
62,586.9769960499999
63,595.6090130499999
64,604.2486530499999
65,612.8964110499999
66,621.5501189499998
67,630.2102618499998
68,638.8773743499999
69,647.5509911499998
70,656.2323497499998
71,664.9209155499998
72,673.6166588499998
73,682.3192232499998
74,691.0273217499998
75,699.7409345499998
76,708.4621208499998
77,717.1900094499998
78,725.9229173499998
79,734.6638937499998
80,743.4135029499998
81,752.1713588499998
82,760.9360259499998
83,769.7070092499998
84,778.4868530499998
85,787.2737357499998
86,796.0702016499998
87,804.8730530499998
88,813.6825968499999
89,822.4998131499999
90,831.3256226499999
91,840.1583423499999
92,848.9978732499999
93,857.8435520499999
94,866.6969627499999
95,875.5573232499999
96,884.4245147499998
97,893.2978838499998
98,902.1787175499999
99,911.0662931499999
